Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
170,"5/13/20, 12:55:39 PM",124 ft,0:00:03,28 mph,757 ft,358° true,N42° 34.382' W83° 11.674',95.0 °F,66
171,"5/13/20, 12:55:42 PM",120 ft,0:00:03,27 mph,757 ft,358° true,N42° 34.402' W83° 11.675',95.0 °F,62
172,"5/13/20, 12:55:45 PM",118 ft,0:00:03,27 mph,757 ft,0° true,N42° 34.422' W83° 11.676',95.0 °F,63
173,"5/13/20, 12:55:48 PM",194 ft,0:00:05,26 mph,757 ft,359° true,N42° 34.441' W83° 11.676',95.0 °F,66
174,"5/13/20, 12:55:53 PM",67 ft,0:00:02,23 mph,757 ft,353° true,N42° 34.473' W83° 11.676',95.0 °F,67
175,"5/13/20, 12:55:55 PM",60 ft,0:00:02,20 mph,757 ft,336° true,N42° 34.484' W83° 11.678',95.0 °F,67
176,"5/13/20, 12:55:57 PM",59 ft,0:00:02,20 mph,757 ft,304° true,N42° 34.493' W83° 11.684',95.0 °F,69
177,"5/13/20, 12:55:59 PM",33 ft,0:00:01,23 mph,757 ft,284° true,N42° 34.498' W83° 11.695',95.0 °F,66
178,"5/13/20, 12:56:00 PM",35 ft,0:00:01,24 mph,757 ft,282° true,N42° 34.500' W83° 11.702',95.0 °F,67
179,"5/13/20, 12:56:01 PM",76 ft,0:00:02,26 mph,757 ft,278° true,N42° 34.501' W83° 11.710',95.0 °F,64
180,"5/13/20, 12:56:03 PM",38 ft,0:00:01,26 mph,757 ft,276° true,N42° 34.503' W83° 11.726',95.0 °F,61
181,"5/13/20, 12:56:04 PM",187 ft,0:00:05,26 mph,757 ft,272° true,N42° 34.503' W83° 11.735',95.0 °F,61
182,"5/13/20, 12:56:09 PM",38 ft,0:00:01,26 mph,755 ft,267° true,N42° 34.505' W83° 11.776',95.0 °F,63
183,"5/13/20, 12:56:10 PM",110 ft,0:00:03,25 mph,755 ft,264° true,N42° 34.504' W83° 11.785',95.0 °F,63
184,"5/13/20, 12:56:13 PM",52 ft,0:00:02,18 mph,753 ft,264° true,N42° 34.502' W83° 11.809',93.2 °F,63
185,"5/13/20, 12:56:15 PM",30 ft,0:00:02,10 mph,753 ft,267° true,N42° 34.501' W83° 11.821',93.2 °F,63
186,"5/13/20, 12:56:17 PM",,,,753 ft,,N42° 34.501' W83° 11.828',93.2 °F,62
